country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/1/2021,-38,-26,,,-66,22
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/2/2021,-8,-11,,,-17,7
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/3/2021,-8,-7,,,-12,5
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/4/2021,2,-5,,,-21,6
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/5/2021,7,0,,,-18,5
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/6/2021,-11,-15,,,-16,8
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/7/2021,-5,-8,,-46,-16,6
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/8/2021,-8,-12,,-43,-15,8
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/9/2021,-3,-5,,,-2,5
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/10/2021,-32,-20,,,-22,8
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/11/2021,-16,-20,,,-46,11
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/12/2021,-4,-5,,,-18,4
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/13/2021,-1,-4,,,-16,4
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/14/2021,-5,-7,,-43,-18,5
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/15/2021,-11,-13,,-50,-15,6
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/16/2021,-7,-10,,,-5,5
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/17/2021,-12,-11,,,-15,4
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/18/2021,-11,-13,,,-38,10
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/19/2021,-15,-17,,,-18,6
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/20/2021,-11,-10,,,-15,6
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/21/2021,-10,-14,,-41,-16,5
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/22/2021,-13,-13,,-54,-14,7
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/23/2021,-18,-13,,,-6,6
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/24/2021,-18,-14,,,-15,5
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/25/2021,-10,-13,,,-14,5
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/26/2021,-4,-12,,,-18,4
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/27/2021,0,-8,,,-15,4
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/28/2021,-5,-14,,,-16,3
US,United States,Texas,Anderson County,,,48001,ChIJEVmjAz5nSIYRZwt99yWrrhM,1/29/2021,-6,-10,,-53,-12,4
